Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Hamish Rooney,1,9.0,8.0,5.0,2.0,2.0,5.0,5.0,3.0,7
Shooting Guard #161,4,4.0,2.0,8.0,5.0,6.0,4.0,5.0,1.0,6
Point Guard #150,5,6.0,3.0,5.0,7.0,5.0,2.0,1.0,6.0,7
Small Forward #80,3,9.0,5.0,2.0,3.0,10.0,1.0,8.0,1.0,5
Power Forward #156,2,6.0,3.0,5.0,6.0,4.0,6.0,3.0,4.0,7
Pau Vevapi,4,3.0,1.0,5.0,4.0,4.0,8.0,2.0,5.0,6
Center #112,1,6.0,5.0,3.0,5.0,2.0,5.0,6.0,7.0,6
Small Forward #29,3,7.0,7.0,2.0,2.0,5.0,6.0,8.0,1.0,5
Power Forward #160,2,4.0,3.0,3.0,6.0,7.0,1.0,5.0,5.0,8
Point Guard #104,5,6.0,3.0,4.0,6.0,3.0,3.0,1.0,4.0,6
Power Forward #117,2,6.0,1.0,5.0,4.0,2.0,4.0,6.0,3.0,6
Shooting Guard #108,4,5.0,2.0,5.0,1.0,1.0,5.0,5.0,6.0,6
Small Forward #3,3,2.0,9.0,2.0,10.0,2.0,2.0,8.0,1.0,5
