Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Power Forward #120,2,4.0,5.0,5.0,5.0,7.0,7.0,2.0,4.0,8
Harver Borelli,4,1.0,1.0,10.0,1.0,4.0,3.0,3.0,10.0,9
Iora Dani,5,10.0,3.0,10.0,4.0,1.0,1.0,1.0,7.0,5
Power Forward #38,2,7.0,2.0,1.0,1.0,4.0,3.0,7.0,7.0,5
Kuronuma Gihei,1,5.0,8.0,2.0,1.0,6.0,5.0,5.0,6.0,5
Small Forward #172,3,5.0,5.0,5.0,3.0,3.0,5.0,6.0,7.0,5
Shooting Guard #109,4,4.0,4.0,4.0,4.0,1.0,2.0,2.0,8.0,6
Small Forward #118,3,7.0,5.0,5.0,5.0,3.0,2.0,3.0,6.0,6
Center #118,1,7.0,3.0,2.0,4.0,5.0,3.0,5.0,4.0,7
Point Guard #101,5,6.0,2.0,4.0,5.0,6.0,6.0,1.0,3.0,5
Center #105,1,4.0,4.0,1.0,2.0,7.0,6.0,3.0,7.0,7
Small Forward #39,3,1.0,9.0,1.0,3.0,9.0,4.0,6.0,2.0,5
Power Forward #137,2,5.0,7.0,5.0,6.0,2.0,1.0,1.0,3.0,8
