Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Small Forward #143,3,5.0,3.0,7.0,6.0,7.0,7.0,5.0,6.0,8
Point Guard #107,5,6.0,3.0,3.0,7.0,5.0,5.0,4.0,4.0,8
Power Forward #150,2,5.0,6.0,5.0,4.0,4.0,7.0,6.0,5.0,6
Center #143,1,7.0,6.0,3.0,4.0,4.0,5.0,4.0,6.0,7
Shooting Guard #112,4,5.0,5.0,5.0,3.0,5.0,2.0,4.0,6.0,6
Point Guard #105,5,4.0,2.0,3.0,7.0,4.0,6.0,3.0,3.0,7
Center #106,1,5.0,6.0,2.0,2.0,5.0,8.0,6.0,5.0,5
Shooting Guard #121,4,2.0,3.0,8.0,3.0,3.0,1.0,5.0,3.0,8
Power Forward #138,2,5.0,1.0,5.0,5.0,4.0,7.0,5.0,3.0,5
Small Forward #134,3,7.0,4.0,3.0,3.0,6.0,3.0,5.0,2.0,7
Point Guard #125,5,5.0,1.0,5.0,5.0,4.0,5.0,2.0,5.0,5
Small Forward #130,3,4.0,6.0,1.0,5.0,2.0,2.0,5.0,6.0,8
Shooting Guard #159,4,2.0,4.0,2.0,5.0,3.0,5.0,4.0,3.0,8
