Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Power Forward #141,2,6.0,6.0,4.0,5.0,6.0,6.0,5.0,4.0,7
Asser Gradl,1,8.0,7.0,4.0,3.0,3.0,7.0,5.0,3.0,7
Point Guard #92,5,2.0,4.0,7.0,7.0,5.0,6.0,1.0,3.0,5
Kolpa Hjetohje,4,5.0,1.0,5.0,4.0,2.0,4.0,1.0,8.0,10
Small Forward #54,3,3.0,1.0,7.0,7.0,6.0,2.0,10.0,6.0,5
Point Guard #138,5,4.0,4.0,1.0,8.0,3.0,5.0,1.0,4.0,9
Center #119,1,6.0,6.0,7.0,3.0,6.0,6.0,4.0,3.0,5
Small Forward #55,3,4.0,6.0,3.0,7.0,2.0,3.0,7.0,8.0,5
Shooting Guard #49,4,3.0,2.0,6.0,4.0,4.0,3.0,2.0,5.0,5
Paxathipatai Vongsay,2,5.0,5.0,5.0,2.0,2.0,3.0,7.0,5.0,5
Power Forward #144,2,7.0,3.0,3.0,4.0,5.0,2.0,2.0,4.0,7
Point Guard #169,5,5.0,4.0,2.0,5.0,5.0,5.0,1.0,6.0,5
Center #147,1,3.0,3.0,2.0,2.0,4.0,8.0,6.0,3.0,7
