Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Shooting Guard #101,4,8.0,8.0,4.0,9.0,4.0,2.0,5.0,6.0,8
Power Forward #128,2,5.0,7.0,5.0,5.0,4.0,7.0,6.0,3.0,6
Center #154,1,5.0,3.0,2.0,5.0,10.0,7.0,6.0,1.0,7
Point Guard #112,5,3.0,2.0,3.0,8.0,3.0,3.0,2.0,6.0,9
Small Forward #147,3,6.0,7.0,8.0,4.0,4.0,2.0,5.0,5.0,5
Small Forward #178,3,5.0,6.0,2.0,3.0,5.0,3.0,7.0,5.0,8
Point Guard #135,5,4.0,2.0,5.0,7.0,3.0,4.0,1.0,5.0,6
Power Forward #90,2,4.0,2.0,2.0,5.0,2.0,6.0,9.0,5.0,5
Shooting Guard #144,4,2.0,5.0,6.0,4.0,2.0,1.0,5.0,4.0,8
Keowynn Savang,1,9.0,6.0,2.0,1.0,2.0,3.0,6.0,2.0,5
Center #102,1,5.0,5.0,8.0,4.0,4.0,8.0,4.0,1.0,5
Point Guard #134,5,4.0,1.0,3.0,6.0,5.0,2.0,3.0,5.0,6
Power Forward #133,2,7.0,1.0,4.0,5.0,3.0,1.0,4.0,3.0,8
