Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Power Forward #125,2,6.0,3.0,5.0,6.0,4.0,6.0,7.0,5.0,6
Center #161,1,6.0,6.0,1.0,5.0,8.0,5.0,7.0,3.0,5
Point Guard #41,5,1.0,4.0,7.0,6.0,7.0,5.0,2.0,4.0,5
Carsten Tischbein,4,7.0,2.0,9.0,4.0,3.0,1.0,3.0,3.0,5
Small Forward #26,3,7.0,5.0,3.0,4.0,4.0,4.0,1.0,10.0,5
Power Forward #168,2,6.0,2.0,3.0,6.0,7.0,2.0,4.0,4.0,8
Shooting Guard #45,4,6.0,2.0,8.0,4.0,1.0,2.0,4.0,1.0,5
Small Forward #169,3,5.0,4.0,3.0,7.0,5.0,2.0,4.0,4.0,8
Center #162,1,4.0,5.0,6.0,2.0,9.0,6.0,3.0,4.0,6
Point Guard #153,5,6.0,2.0,3.0,6.0,3.0,5.0,2.0,4.0,7
Small Forward #102,3,3.0,6.0,4.0,1.0,7.0,6.0,3.0,3.0,7
Point Guard #143,5,3.0,3.0,4.0,5.0,3.0,5.0,4.0,6.0,6
Shooting Guard #72,4,3.0,2.0,5.0,6.0,1.0,4.0,1.0,2.0,5
