Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Power Forward #164,2,7.0,7.0,4.0,4.0,6.0,5.0,7.0,5.0,6
Small Forward #115,3,5.0,7.0,5.0,2.0,7.0,7.0,6.0,2.0,8
Lani Savang,1,5.0,2.0,4.0,1.0,10.0,9.0,5.0,1.0,8
Shooting Guard #113,4,5.0,5.0,6.0,5.0,2.0,2.0,6.0,5.0,6
Point Guard #140,5,3.0,4.0,4.0,6.0,3.0,5.0,4.0,3.0,10
Small Forward #151,3,5.0,3.0,7.0,3.0,5.0,4.0,3.0,6.0,7
Shooting Guard #114,4,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,8
Asser Klostermann,1,4.0,7.0,3.0,3.0,1.0,10.0,8.0,2.0,5
Point Guard #103,5,3.0,4.0,3.0,6.0,4.0,5.0,1.0,6.0,8
Power Forward #92,2,3.0,2.0,5.0,5.0,4.0,5.0,7.0,4.0,5
Point Guard #87,5,6.0,1.0,3.0,4.0,6.0,7.0,3.0,3.0,5
Klanu Tanpratia,1,5.0,8.0,1.0,2.0,1.0,6.0,6.0,5.0,5
Power Forward #73,2,3.0,4.0,6.0,5.0,3.0,1.0,9.0,3.0,5
