Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Shooting Guard #103,4,5.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,7
Center #113,1,7.0,6.0,1.0,5.0,6.0,6.0,4.0,6.0,7
Small Forward #145,3,6.0,6.0,3.0,7.0,7.0,4.0,7.0,1.0,7
Point Guard #131,5,5.0,4.0,4.0,6.0,6.0,4.0,2.0,5.0,6
Power Forward #101,2,6.0,7.0,3.0,6.0,4.0,4.0,2.0,3.0,8
Shooting Guard #12,4,1.0,2.0,9.0,4.0,6.0,5.0,1.0,3.0,5
Center #145,1,5.0,5.0,2.0,3.0,6.0,8.0,6.0,3.0,5
Danonio Asetxi,2,4.0,6.0,1.0,1.0,7.0,6.0,7.0,3.0,6
Small Forward #128,3,4.0,7.0,6.0,6.0,4.0,3.0,6.0,1.0,6
Point Guard #122,5,6.0,1.0,4.0,5.0,3.0,4.0,10.0,3.0,7
Point Guard #108,5,3.0,3.0,3.0,5.0,6.0,3.0,1.0,2.0,9
Mazló Nánpa,1,5.0,8.0,1.0,2.0,1.0,5.0,6.0,5.0,6
Power Forward #143,2,5.0,1.0,4.0,6.0,3.0,2.0,4.0,5.0,7
