Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Small Forward #104,3,7.0,5.0,1.0,7.0,6.0,7.0,4.0,6.0,8
Abi GasbÃ«rr,4,2.0,1.0,10.0,5.0,7.0,3.0,4.0,2.0,6
Point Guard #164,5,5.0,4.0,5.0,6.0,5.0,6.0,3.0,6.0,6
Jake Kirk,1,5.0,6.0,1.0,5.0,6.0,8.0,6.0,1.0,7
Power Forward #139,2,7.0,5.0,5.0,5.0,7.0,1.0,1.0,5.0,8
Omeri Tetrisei,2,3.0,4.0,4.0,2.0,5.0,6.0,8.0,6.0,5
Point Guard #47,5,2.0,4.0,4.0,5.0,7.0,3.0,3.0,6.0,8
Shooting Guard #158,4,2.0,3.0,4.0,5.0,6.0,2.0,6.0,6.0,5
Center #138,1,3.0,6.0,3.0,4.0,5.0,6.0,7.0,5.0,5
Small Forward #175,3,4.0,6.0,2.0,7.0,7.0,4.0,4.0,1.0,6
Midger,5,1.0,3.0,4.0,5.0,4.0,3.0,2.0,6.0,10
Small Forward #103,3,7.0,5.0,4.0,2.0,4.0,4.0,6.0,2.0,5
Center #163,1,4.0,3.0,1.0,5.0,5.0,7.0,4.0,6.0,6
