Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Point Guard #149,5,3.0,3.0,5.0,10.0,3.0,4.0,2.0,4.0,9
Shooting Guard #27,4,6.0,1.0,7.0,4.0,2.0,7.0,4.0,6.0,5
Center #140,1,5.0,6.0,1.0,4.0,7.0,7.0,7.0,4.0,5
Power Forward #170,2,7.0,1.0,3.0,6.0,6.0,7.0,3.0,3.0,7
Small Forward #119,3,5.0,4.0,1.0,3.0,7.0,6.0,5.0,5.0,8
Shooting Guard #110,4,5.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,8
Power Forward #122,2,6.0,4.0,4.0,6.0,5.0,3.0,1.0,5.0,8
Small Forward #122,3,5.0,6.0,3.0,1.0,7.0,4.0,5.0,5.0,6
Point Guard #142,5,3.0,1.0,3.0,7.0,5.0,3.0,4.0,7.0,7
Center #159,1,6.0,3.0,1.0,2.0,3.0,6.0,5.0,6.0,7
Point Guard #12,5,6.0,1.0,3.0,5.0,4.0,6.0,4.0,3.0,6
Small Forward #101,3,6.0,3.0,1.0,5.0,5.0,3.0,5.0,3.0,7
Egrenat Alote,1,6.0,9.0,2.0,1.0,2.0,1.0,8.0,1.0,5
