Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Kudapa Zaxnax,4,7.0,2.0,6.0,7.0,5.0,2.0,1.0,5.0,9
Point Guard #158,5,4.0,1.0,8.0,7.0,5.0,2.0,2.0,3.0,7
Small Forward #133,3,6.0,3.0,5.0,2.0,5.0,7.0,7.0,7.0,7
Center #107,1,5.0,3.0,2.0,1.0,7.0,6.0,7.0,6.0,6
Power Forward #145,2,6.0,6.0,5.0,4.0,3.0,4.0,6.0,3.0,7
Power Forward #153,2,6.0,1.0,5.0,6.0,3.0,3.0,5.0,4.0,8
Shooting Guard #128,4,3.0,5.0,5.0,5.0,4.0,1.0,2.0,7.0,5
Center #104,1,6.0,4.0,2.0,2.0,8.0,5.0,6.0,2.0,5
Point Guard #120,5,5.0,3.0,2.0,8.0,3.0,5.0,4.0,5.0,5
Small Forward #78,3,4.0,1.0,2.0,8.0,1.0,8.0,8.0,2.0,9
Power Forward #79,2,5.0,4.0,4.0,1.0,5.0,2.0,6.0,7.0,5
Shooting Guard #143,4,4.0,2.0,4.0,4.0,1.0,2.0,2.0,8.0,6
Small Forward #117,3,3.0,6.0,3.0,5.0,5.0,5.0,5.0,1.0,6
