-----------------------------------------------------------
| Ávura Aviators            | 27 | 24 | 27 | 14 | 0 | 92  |
| Dotruga Falno             | 36 | 23 | 34 | 31 | 0 | 124 |
-----------------------------------------------------------
Ávura Aviators
POS NAME                    MIN  PTS  AST  FGA  FGM    FG%  3TA  3TM  FTA FTM   TO  STL  REB  ORB  DRB  FLS  OSA  OSM    OS%
C  Pixtij Lekaxo            34   20    3   18   10   55.6    0    0    0   0    2    0    7    2    5    1   11    4   36.4
PF Tibiziŋag Ifet            0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SF Sichaizei Sha             0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Floenne Zan              39   13    6   16    5   31.3   10    2    2   1    1    1    8    3    5    3   14   11   78.6
PG Levnit Lrize              0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Fihano Fem               20    6    1    7    3   42.9    0    0    0   0    2    0    3    1    2    0    5    3   60.0
SF Ijba Bexotrugo           32    2    6    9    1   11.1    0    0    0   0    1    2    4    1    3    0   14    5   35.7
SG Itso Bigo                 4    3    0    3    1   33.3    2    1    0   0    0    0    1    0    1    1    2    1   50.0
PF Kelii Sisoulith          31    9    7    7    3   42.9    3    1    4   2    3    0    6    1    5    1   13    7   53.8
PG Ruul Rzit                22    6    4   10    1   10.0    4    1    5   3    0    0    1    0    1    2    7    4   57.1
PF Sael Yen                 16    4    2    5    2   40.0    0    0    0   0    0    0    2    0    2    2    7    6   85.7
C  Sagobesei Alote          13    6    0    6    3   50.0    0    0    0   0    1    0    3    1    2    1    3    2   66.7
PG Siolle Lago              25   23    3   12    8   66.7    7    6    1   1    0    0    4    0    4    1   16   12   75.0
PF Sundaa Wen                0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Trezent Rogu              0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
Dotruga Falno
POS NAME                    MIN  PTS  AST  FGA  FGM    FG%  3TA  3TM  FTA FTM   TO  STL  REB  ORB  DRB  FLS  OSA  OSM    OS%
C  Osiei Bituna             12    0    3    1    0    0.0    0    0    0   0    0    1    0    0    0    2    3    2   66.7
SF Atakri Kalauni            0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Bro McBeth                0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Lato Naixi                4    2    1    2    1   50.0    0    0    0   0    0    0    0    0    0    1    7    3   42.9
PF Kapel Hilo                0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Vanhik Slivókŕámhomhók   43   31    7   14   11   78.6    2    0    3   2    2    2    2    0    2    4   19    6   31.6
PG Danomobei Subeina         8    9    1    6    4   66.7    0    0    0   0    0    0    2    1    1    2    5    2   40.0
SF Blaxanon Bonits          24    8    6    8    4   50.0    0    0    0   0    1    0    1    1    0    0    6    1   16.7
PG Atobeino Tixom            0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PF Atumobei Tute            42   20    7   17   10   58.8    0    0    0   0    0    1   14    5    9    3   10    5   50.0
PF Dylan Fowler              5    6    1    3    3   100.0    0    0    0   0    0    0    2    1    1    1    2    0   0.0
PG Paparto Subeina          39   28   10   17   12   70.6    1    0    0   0    1    0    8    2    6    4   17    7   41.2
SF Nobira Nariaki           23    8    8   11    4   36.4    0    0    0   0    3    0   11    6    5    0    3    0   0.0
SG Pakomha Nhoñsła           0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Gerard Holzer            35   12    1   13    6   46.2    0    0    0   0    1    0   14   10    4    4   21   11   52.4
