-----------------------------------------------------------
| Dotruga Falno             | 21 | 22 | 20 | 22 | 0 | 85  |
| Ávura Aviators            | 32 | 17 | 23 | 21 | 0 | 93  |
-----------------------------------------------------------
Dotruga Falno
POS NAME                    MIN  PTS  AST  FGA  FGM    FG%  3TA  3TM  FTA FTM   TO  STL  REB  ORB  DRB  FLS  OSA  OSM    OS%
C  Osiei Bituna              8    2    1    3    1   33.3    0    0    0   0    0    0    5    1    4    2    4    2   50.0
SF Atakri Kalauni            0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Bro McBeth                0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Lato Naixi                5    3    0    2    1   50.0    1    1    0   0    0    0    1    0    1    0    1    1   100.0
PF Kapel Hilo               35   18    3   16    9   56.3    0    0    0   0    1    0    5    1    4    1   20   12   60.0
SG Vanhik Slivókŕámhomhók   42   15    3   19    7   36.8    6    1    0   0    0    0    8    3    5    2   12    2   16.7
PG Danomobei Subeina         0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SF Blaxanon Bonits          22    4    2    6    2   33.3    0    0    0   0    0    0    4    0    4    2    6    3   50.0
PG Atobeino Tixom            8    4    3    5    2   40.0    0    0    0   0    0    0    1    1    0    0    3    1   33.3
PF Atumobei Tute             0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PF Dylan Fowler             12   10    1    6    5   83.3    0    0    0   0    0    2    5    1    4    1    5    2   40.0
PG Paparto Subeina          39   11    9   18    4   22.2    6    2    1   1    1    0   10    3    7    1   21    8   38.1
SF Nobira Nariaki           25    8    6   11    4   36.4    0    0    0   0    0    0   10    5    5    1    5    2   40.0
SG Pakomha Nhoñsła           0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Gerard Holzer            39   10    5   16    4   25.0    0    0    2   2    3    0   12    4    8    2   20    9   45.0
Ávura Aviators
POS NAME                    MIN  PTS  AST  FGA  FGM    FG%  3TA  3TM  FTA FTM   TO  STL  REB  ORB  DRB  FLS  OSA  OSM    OS%
C  Pixtij Lekaxo            33   14    2   15    7   46.7    0    0    0   0    0    1    7    1    6    0   13    3   23.1
PF Tibiziŋag Ifet           21   14    5   11    7   63.6    0    0    0   0    2    0    6    2    4    5   10    8   80.0
SF Sichaizei Sha             0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Floenne Zan              37    9   12   10    3   30.0    3    0    2   2    0    0    4    0    4    0   17    6   35.3
PG Levnit Lrize             36   22    7   17    9   52.9    2    0    0   0    0    0    9    5    4    3   21    5   23.8
SG Fihano Fem               10    0    1    3    0    0.0    0    0    0   0    0    0    1    0    1    1    4    2   50.0
SF Ijba Bexotrugo           40   10    5   11    5   45.5    0    0    0   0    0    0    9    2    7    0   14    5   35.7
SG Itso Bigo                 0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PF Kelii Sisoulith           0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PG Ruul Rzit                11    0    2    7    0    0.0    2    0    0   0    0    0    0    0    0    1    2    1   50.0
PF Sael Yen                  0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Sagobesei Alote           0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PG Siolle Lago               0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PF Sundaa Wen               26   16    2   14    7   50.0    2    0    1   1    3    0   13    9    4    1   12    6   50.0
C  Trezent Rogu             22    8    2    9    4   44.4    0    0    0   0    0    0    8    2    6    3    9    3   33.3
