-----------------------------------------------------------
| Ávura Aviators            | 27 | 23 | 28 | 25 | 0 | 103 |
| Dotruga Falno             | 28 | 27 | 19 | 25 | 0 | 99  |
-----------------------------------------------------------
Ávura Aviators
POS NAME                    MIN  PTS  AST  FGA  FGM    FG%  3TA  3TM  FTA FTM   TO  STL  REB  ORB  DRB  FLS  OSA  OSM    OS%
C  Pixtij Lekaxo            34   14    4   12    7   58.3    0    0    0   0    3    1    6    2    4    3   19    8   42.1
PF Tibiziŋag Ifet           38   20    5   20   10   50.0    0    0    0   0    0    0    7    2    5    1   11    5   45.5
SF Sichaizei Sha            43   12    5   12    6   50.0    0    0    0   0    1    1   11    3    8    3   15    7   46.7
SG Floenne Zan              37   22    9   16    8   50.0    7    4    3   2    0    0   10    4    6    1   15    7   46.7
PG Levnit Lrize             35   23    6   18   10   55.6    5    2    1   1    1    1    6    3    3    4   16    7   43.8
SG Fihano Fem               10    2    1    3    1   33.3    0    0    0   0    0    0    1    0    1    0    2    0   0.0
SF Ijba Bexotrugo            4    0    0    1    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Itso Bigo                 0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PF Kelii Sisoulith           9    4    5    6    2   33.3    1    0    0   0    0    0    2    1    1    0    6    3   50.0
PG Ruul Rzit                 2    0    0    1    0    0.0    0    0    0   0    1    0    0    0    0    0    1    0   0.0
PF Sael Yen                  0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Sagobesei Alote           8    2    2    2    1   50.0    0    0    0   0    0    1    4    1    3    3    4    3   75.0
PG Siolle Lago              10    4    3    6    2   33.3    3    0    0   0    0    0    3    0    3    0    2    0   0.0
PF Sundaa Wen                0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Trezent Rogu              5    0    1    0    0    0.0    0    0    0   0    0    0    1    0    1    1    4    2   50.0
Dotruga Falno
POS NAME                    MIN  PTS  AST  FGA  FGM    FG%  3TA  3TM  FTA FTM   TO  STL  REB  ORB  DRB  FLS  OSA  OSM    OS%
C  Osiei Bituna             10   10    0    7    5   71.4    0    0    0   0    2    0    9    4    5    1    4    1   25.0
SF Atakri Kalauni           42   20    5   14    7   50.0    0    0    2   2    0    0    6    3    3    3   12    6   50.0
C  Bro McBeth                0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Lato Naixi               10    5    3    3    2   66.7    0    0    0   0    0    0    0    0    0    1    5    3   60.0
PF Kapel Hilo                5    2    0    3    1   33.3    0    0    0   0    0    0    1    0    1    0    3    2   66.7
SG Vanhik Slivókŕámhomhók   37   13    5   14    5   35.7    5    0    0   0    2    0    3    1    2    3   14    6   42.9
PG Danomobei Subeina         4    0    2    1    0    0.0    1    0    0   0    0    0    1    0    1    0    2    1   50.0
SF Blaxanon Bonits           5    0    1    1    0    0.0    0    0    0   0    1    1    0    0    0    0    1    0   0.0
PG Atobeino Tixom            4    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    4    4   100.0
PF Atumobei Tute            42   14    8   14    7   50.0    0    0    0   0    0    0   10    4    6    4   23   10   43.5
PF Dylan Fowler              0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
PG Paparto Subeina          39   19    5   18    7   38.9    5    0    3   3    2    1    6    1    5    3   19    7   36.8
SF Nobira Nariaki            0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
SG Pakomha Nhoñsła           0    0    0    0    0    0.0    0    0    0   0    0    0    0    0    0    0    0    0   0.0
C  Gerard Holzer            37   16    6   20    8   40.0    0    0    0   0    3    1   16    2   14    1   10    7   70.0
