Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Shooting Guard #106,4,3.0,3.0,2.0,7.0,8.0,9.0,3.0,3.0,10
Om Kwang-Jo,1,5.0,6.0,2.0,4.0,10.0,1.0,8.0,2.0,8
Small Forward #111,3,7.0,5.0,6.0,3.0,5.0,7.0,4.0,1.0,8
Point Guard #129,5,5.0,3.0,4.0,7.0,3.0,5.0,4.0,4.0,7
Power Forward #135,2,5.0,6.0,5.0,3.0,7.0,2.0,5.0,5.0,6
Shooting Guard #86,4,1.0,3.0,6.0,4.0,6.0,1.0,3.0,5.0,10
Small Forward #157,3,3.0,7.0,4.0,7.0,3.0,4.0,5.0,3.0,8
Ivor Wade,1,8.0,3.0,2.0,2.0,1.0,6.0,5.0,6.0,8
Power Forward #173,2,5.0,3.0,5.0,6.0,3.0,1.0,6.0,5.0,6
Point Guard #3,5,6.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,5
Power Forward #142,2,5.0,1.0,4.0,5.0,7.0,5.0,2.0,3.0,6
Point Guard #121,5,5.0,4.0,1.0,7.0,2.0,2.0,1.0,2.0,10
Small Forward #10,3,1.0,2.0,4.0,6.0,6.0,3.0,10.0,3.0,5
