Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Power Forward #166,2,7.0,3.0,5.0,3.0,6.0,7.0,7.0,5.0,6
Center #137,1,7.0,3.0,2.0,5.0,8.0,8.0,4.0,6.0,5
Neat Mike,5,8.0,2.0,4.0,3.0,4.0,5.0,1.0,2.0,5
Shooting Guard #138,4,3.0,5.0,6.0,3.0,3.0,6.0,3.0,8.0,7
Small Forward #166,3,6.0,3.0,6.0,3.0,6.0,2.0,5.0,6.0,7
Vipoi Vuki,2,3.0,5.0,6.0,5.0,1.0,4.0,9.0,4.0,6
Carsten Fein,1,4.0,6.0,1.0,2.0,5.0,7.0,7.0,6.0,5
Small Forward #121,3,4.0,5.0,2.0,6.0,6.0,4.0,6.0,4.0,6
Point Guard #118,5,6.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5
Shooting Guard #119,4,4.0,4.0,3.0,1.0,4.0,6.0,2.0,7.0,7
Power Forward #158,2,4.0,3.0,5.0,4.0,1.0,7.0,5.0,3.0,6
Small Forward #156,3,5.0,5.0,3.0,3.0,2.0,3.0,4.0,6.0,8
Shooting Guard #104,4,2.0,1.0,6.0,3.0,4.0,3.0,8.0,3.0,6
