Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Shooting Guard #129,4,5.0,2.0,7.0,4.0,5.0,6.0,6.0,4.0,7
Power Forward #174,2,7.0,6.0,5.0,6.0,2.0,4.0,6.0,3.0,8
Point Guard #137,5,5.0,3.0,3.0,7.0,5.0,5.0,1.0,7.0,6
Small Forward #67,3,7.0,5.0,5.0,4.0,6.0,4.0,9.0,2.0,5
Center #131,1,5.0,3.0,2.0,2.0,6.0,8.0,6.0,7.0,5
Small Forward #137,3,4.0,5.0,4.0,7.0,6.0,7.0,3.0,3.0,5
Shooting Guard #156,4,4.0,3.0,5.0,4.0,6.0,2.0,4.0,2.0,6
Power Forward #155,2,6.0,3.0,3.0,5.0,7.0,6.0,1.0,3.0,7
Point Guard #33,5,4.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,10
Alotra Asoertotrisei,1,7.0,6.0,1.0,2.0,4.0,1.0,6.0,1.0,9
Small Forward #171,3,4.0,5.0,7.0,4.0,3.0,3.0,3.0,6.0,6
Point Guard #165,5,2.0,1.0,3.0,8.0,4.0,2.0,4.0,6.0,5
Center #108,1,7.0,3.0,1.0,2.0,3.0,3.0,4.0,7.0,6
