Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Shooting Guard #105,4,2.0,4.0,9.0,9.0,4.0,3.0,4.0,5.0,5
Point Guard #136,5,4.0,3.0,5.0,8.0,6.0,3.0,3.0,4.0,6
Center #132,1,5.0,3.0,6.0,4.0,9.0,6.0,5.0,3.0,7
Small Forward #162,3,7.0,6.0,5.0,5.0,6.0,3.0,4.0,4.0,5
Power Forward #157,2,4.0,4.0,5.0,4.0,6.0,7.0,5.0,3.0,6
Shooting Guard #47,4,2.0,2.0,7.0,4.0,1.0,7.0,4.0,4.0,8
Center #153,1,6.0,6.0,3.0,1.0,2.0,7.0,7.0,3.0,7
Point Guard #102,5,6.0,4.0,3.0,6.0,6.0,3.0,2.0,5.0,5
Small Forward #114,3,5.0,3.0,3.0,4.0,3.0,7.0,7.0,3.0,8
Power Forward #20,2,5.0,5.0,2.0,1.0,1.0,7.0,7.0,4.0,5
Center #130,1,6.0,6.0,2.0,3.0,5.0,7.0,4.0,1.0,6
Point Guard #115,5,4.0,4.0,3.0,5.0,3.0,4.0,3.0,7.0,6
Small Forward #129,3,4.0,6.0,5.0,3.0,4.0,5.0,3.0,3.0,5
