Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Saiki Shunmyo,1,5.0,7.0,5.0,2.0,4.0,7.0,10.0,4.0,9
Small Forward #167,3,7.0,5.0,3.0,4.0,6.0,7.0,7.0,4.0,5
Malo Phoutthasinh,2,3.0,5.0,3.0,3.0,9.0,3.0,9.0,7.0,6
Shooting Guard #99,4,3.0,3.0,5.0,6.0,4.0,2.0,1.0,9.0,5
Point Guard #163,5,2.0,4.0,2.0,6.0,5.0,4.0,4.0,7.0,10
Shooting Guard #167,4,4.0,2.0,6.0,2.0,1.0,5.0,5.0,7.0,6
Center #125,1,7.0,5.0,2.0,4.0,2.0,6.0,7.0,1.0,7
Small Forward #56,3,7.0,6.0,2.0,3.0,3.0,2.0,2.0,5.0,5
Power Forward #119,2,6.0,6.0,3.0,4.0,1.0,6.0,1.0,4.0,8
Point Guard #1,5,2.0,3.0,5.0,7.0,4.0,4.0,3.0,3.0,5
Small Forward #160,3,4.0,6.0,6.0,1.0,3.0,3.0,5.0,7.0,7
Shooting Guard #122,4,4.0,2.0,6.0,2.0,1.0,1.0,4.0,6.0,8
Point Guard #106,5,5.0,1.0,1.0,6.0,3.0,6.0,2.0,5.0,7
