Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Shooting Guard #102,4,7.0,5.0,6.0,4.0,3.0,5.0,6.0,4.0,8
Lilo Inthisane,1,4.0,8.0,2.0,2.0,10.0,4.0,7.0,3.0,6
Point Guard #141,5,4.0,4.0,3.0,8.0,4.0,5.0,2.0,6.0,7
Small Forward #124,3,4.0,4.0,2.0,6.0,7.0,7.0,7.0,1.0,8
Power Forward #151,2,4.0,2.0,4.0,5.0,6.0,4.0,6.0,5.0,8
Seino Seviba,1,5.0,9.0,2.0,4.0,5.0,3.0,8.0,2.0,5
Shooting Guard #8,4,3.0,1.0,5.0,4.0,4.0,8.0,2.0,5.0,5
Power Forward #110,2,6.0,2.0,4.0,5.0,7.0,2.0,3.0,4.0,8
Small Forward #116,3,3.0,5.0,4.0,5.0,3.0,6.0,6.0,3.0,8
Kiromi Hisei,5,4.0,4.0,7.0,4.0,4.0,4.0,3.0,4.0,5
Charrat,4,1.0,3.0,6.0,5.0,2.0,3.0,4.0,2.0,9
MhasÅ‚anok QjodlonhÃ¡mh,1,5.0,6.0,1.0,5.0,2.0,9.0,5.0,3.0,5
Small Forward #174,3,5.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,6
