Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Grant Pool,1,6.0,7.0,4.0,3.0,10.0,8.0,5.0,1.0,7
Shooting Guard #14,4,6.0,2.0,9.0,5.0,4.0,3.0,3.0,1.0,5
Point Guard #147,5,5.0,3.0,4.0,8.0,3.0,5.0,3.0,7.0,6
Power Forward #152,2,6.0,7.0,3.0,6.0,1.0,6.0,5.0,4.0,7
Small Forward #168,3,6.0,6.0,3.0,7.0,3.0,5.0,6.0,1.0,8
Shooting Guard #165,4,4.0,3.0,4.0,4.0,5.0,2.0,5.0,7.0,6
Small Forward #112,3,5.0,6.0,6.0,5.0,4.0,5.0,6.0,1.0,6
Keon Saysamongdy,5,2.0,1.0,3.0,8.0,6.0,6.0,3.0,3.0,5
Power Forward #104,2,4.0,2.0,5.0,6.0,2.0,6.0,4.0,4.0,7
Center #149,1,4.0,5.0,3.0,5.0,9.0,5.0,3.0,2.0,7
Small Forward #173,3,4.0,6.0,1.0,7.0,4.0,2.0,5.0,7.0,6
Aseqa Fiqup,1,6.0,6.0,2.0,5.0,2.0,2.0,6.0,5.0,5
Power Forward #134,2,4.0,1.0,3.0,5.0,5.0,4.0,4.0,5.0,7
