Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Danombi Chejijar,1,4.0,4.0,2.0,5.0,8.0,10.0,9.0,2.0,6
Small Forward #155,3,7.0,3.0,6.0,7.0,3.0,7.0,7.0,1.0,5
Litsaw Lek'at,4,1.0,2.0,9.0,4.0,6.0,5.0,1.0,3.0,9
Power Forward #46,2,3.0,3.0,6.0,4.0,7.0,6.0,7.0,3.0,5
Point Guard #132,5,3.0,2.0,4.0,6.0,4.0,5.0,4.0,2.0,7
LeBroccoli James,5,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9
Shooting Guard #111,4,2.0,3.0,8.0,1.0,3.0,6.0,5.0,6.0,5
Kuronuma Kiyohira,1,4.0,5.0,6.0,3.0,1.0,3.0,8.0,3.0,7
Small Forward #71,3,3.0,9.0,1.0,7.0,1.0,4.0,1.0,7.0,9
Power Forward #127,2,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,8
Power Forward #107,2,6.0,5.0,4.0,5.0,4.0,2.0,2.0,5.0,6
Center #124,1,3.0,4.0,2.0,2.0,9.0,7.0,5.0,3.0,5
Point Guard #78,5,2.0,1.0,3.0,6.0,5.0,7.0,3.0,3.0,5
