Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Small Forward #161,3,7.0,5.0,7.0,6.0,6.0,6.0,3.0,4.0,7
Power Forward #111,2,6.0,1.0,4.0,6.0,5.0,7.0,7.0,5.0,6
Jasper Spivey,1,6.0,6.0,3.0,2.0,7.0,1.0,10.0,1.0,5
kaf,5,6.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,8
Kamil Fowler,4,3.0,3.0,10.0,4.0,1.0,5.0,1.0,3.0,6
Point Guard #128,5,3.0,3.0,5.0,5.0,7.0,3.0,3.0,5.0,7
Shooting Guard #137,4,5.0,3.0,3.0,5.0,1.0,3.0,4.0,7.0,7
Small Forward #32,3,6.0,5.0,3.0,7.0,2.0,4.0,6.0,6.0,5
Ijba Himadosadetsei,1,5.0,6.0,1.0,4.0,4.0,9.0,6.0,2.0,5
Power Forward #103,2,4.0,5.0,5.0,4.0,2.0,2.0,7.0,4.0,7
Shooting Guard #133,4,5.0,2.0,3.0,5.0,4.0,3.0,4.0,1.0,7
Point Guard #148,5,3.0,3.0,3.0,7.0,4.0,3.0,4.0,2.0,6
Power Forward #130,2,7.0,1.0,4.0,3.0,2.0,6.0,2.0,4.0,6
