Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Zax Zaxnax,2,8.0,4.0,3.0,6.0,5.0,2.0,8.0,4.0,7
Shooting Guard #157,4,2.0,5.0,8.0,4.0,3.0,3.0,6.0,7.0,8
Point Guard #109,5,4.0,4.0,5.0,7.0,4.0,2.0,4.0,7.0,7
Center #117,1,7.0,3.0,3.0,2.0,8.0,5.0,7.0,1.0,6
Small Forward #140,3,6.0,7.0,7.0,1.0,2.0,7.0,4.0,2.0,8
Small Forward #107,3,5.0,7.0,5.0,4.0,3.0,6.0,7.0,1.0,7
Nathaniel Roberts,5,6.0,2.0,4.0,5.0,4.0,6.0,2.0,6.0,6
Center #166,1,3.0,4.0,1.0,1.0,8.0,8.0,7.0,5.0,5
Power Forward #159,2,6.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,8
Shooting Guard #115,4,4.0,4.0,1.0,5.0,3.0,1.0,2.0,8.0,8
Power Forward #23,2,5.0,3.0,1.0,3.0,1.0,3.0,8.0,4.0,8
Small Forward #109,3,4.0,3.0,6.0,3.0,5.0,2.0,5.0,4.0,7
Shooting Guard #142,4,3.0,4.0,1.0,3.0,5.0,4.0,4.0,7.0,6
