Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Sagobesei Alote,1,10.0,6.0,2.0,3.0,1.0,8.0,8.0,3.0,5
Shooting Guard #107,4,5.0,4.0,6.0,5.0,4.0,3.0,4.0,5.0,7
Point Guard #146,5,4.0,3.0,5.0,7.0,4.0,5.0,1.0,2.0,8
Small Forward #110,3,4.0,6.0,6.0,4.0,5.0,7.0,5.0,1.0,8
Power Forward #149,2,6.0,4.0,4.0,4.0,6.0,6.0,1.0,5.0,7
Yqt Messi,5,4.0,4.0,2.0,8.0,3.0,3.0,3.0,7.0,7
Small Forward #141,3,3.0,7.0,5.0,5.0,3.0,6.0,4.0,4.0,7
Center #116,1,5.0,3.0,3.0,1.0,6.0,6.0,6.0,6.0,6
Power Forward #105,2,5.0,3.0,4.0,5.0,3.0,7.0,3.0,3.0,6
Shooting Guard #57,4,1.0,1.0,7.0,4.0,4.0,6.0,1.0,5.0,5
Center #121,1,4.0,4.0,2.0,3.0,9.0,4.0,6.0,2.0,5
Shooting Guard #3,4,1.0,3.0,6.0,5.0,2.0,3.0,4.0,2.0,8
Small Forward #142,3,4.0,6.0,1.0,3.0,6.0,7.0,3.0,2.0,5
