Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Point Guard #167,5,6.0,3.0,5.0,7.0,5.0,5.0,2.0,2.0,9
Small Forward #138,3,7.0,5.0,7.0,1.0,5.0,6.0,6.0,7.0,6
Power Forward #116,2,7.0,6.0,3.0,3.0,7.0,2.0,6.0,5.0,7
Center #115,1,7.0,6.0,7.0,1.0,3.0,3.0,7.0,5.0,6
Shooting Guard #94,4,1.0,1.0,8.0,5.0,6.0,8.0,4.0,1.0,5
Shooting Guard #89,4,1.0,1.0,5.0,7.0,10.0,4.0,1.0,2.0,5
Sol Chin-Ho,1,6.0,6.0,1.0,3.0,5.0,5.0,6.0,5.0,5
Small Forward #136,3,7.0,5.0,2.0,4.0,4.0,6.0,7.0,1.0,7
Power Forward #124,2,5.0,5.0,3.0,3.0,3.0,7.0,1.0,4.0,8
Point Guard #40,5,2.0,1.0,5.0,4.0,8.0,6.0,3.0,7.0,5
Point Guard #160,5,2.0,4.0,3.0,7.0,4.0,3.0,3.0,2.0,7
Shooting Guard #136,4,2.0,4.0,3.0,5.0,2.0,5.0,5.0,6.0,6
Small Forward #149,3,4.0,4.0,5.0,6.0,2.0,3.0,3.0,5.0,6
