Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Power Forward #108,2,6.0,3.0,4.0,5.0,4.0,7.0,6.0,4.0,8
Small Forward #152,3,7.0,7.0,8.0,7.0,2.0,5.0,4.0,4.0,8
Bilingulbut,1,6.0,8.0,2.0,5.0,1.0,4.0,5.0,6.0,10
Shooting Guard #160,4,5.0,5.0,6.0,3.0,4.0,6.0,3.0,5.0,6
Point Guard #133,5,2.0,3.0,1.0,5.0,8.0,8.0,4.0,6.0,9
Power Forward #118,2,5.0,5.0,5.0,3.0,4.0,3.0,7.0,3.0,7
Point Guard #114,5,4.0,4.0,2.0,7.0,3.0,5.0,1.0,6.0,8
Small Forward #164,3,6.0,6.0,8.0,4.0,2.0,2.0,3.0,6.0,6
Shooting Guard #131,4,4.0,4.0,2.0,3.0,4.0,6.0,3.0,5.0,7
Center #139,1,4.0,3.0,3.0,4.0,2.0,6.0,7.0,5.0,7
Shooting Guard #164,4,4.0,5.0,1.0,4.0,3.0,5.0,4.0,5.0,7
Center #160,1,3.0,6.0,3.0,4.0,8.0,3.0,4.0,4.0,7
Power Forward #163,2,7.0,1.0,4.0,4.0,1.0,5.0,3.0,5.0,5
