Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Point Guard #155,5,6.0,3.0,5.0,8.0,6.0,2.0,3.0,7.0,5
Center #128,1,7.0,3.0,1.0,1.0,10.0,6.0,6.0,3.0,7
Small Forward #132,3,4.0,7.0,7.0,2.0,6.0,3.0,7.0,7.0,6
Power Forward #146,2,4.0,4.0,5.0,6.0,4.0,4.0,7.0,5.0,8
Shooting Guard #162,4,4.0,5.0,4.0,5.0,6.0,3.0,2.0,3.0,6
Shooting Guard #147,4,4.0,5.0,6.0,2.0,4.0,2.0,2.0,7.0,7
Center #150,1,6.0,4.0,1.0,2.0,5.0,4.0,6.0,7.0,6
Power Forward #2,2,6.0,3.0,1.0,5.0,2.0,5.0,7.0,6.0,5
Small Forward #153,3,6.0,7.0,4.0,2.0,4.0,2.0,5.0,6.0,6
Point Guard #19,5,6.0,2.0,4.0,5.0,4.0,6.0,2.0,6.0,5
Power Forward #9,2,3.0,5.0,3.0,4.0,3.0,5.0,6.0,5.0,5
Small Forward #44,3,6.0,2.0,3.0,2.0,7.0,9.0,1.0,2.0,5
Shooting Guard #126,4,5.0,2.0,2.0,1.0,6.0,5.0,6.0,3.0,6
