Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Nio Oipa,4,1.0,3.0,8.0,7.0,5.0,8.0,1.0,6.0,8
Small Forward #139,3,7.0,4.0,6.0,6.0,7.0,4.0,7.0,1.0,7
Power Forward #114,2,7.0,6.0,5.0,3.0,4.0,6.0,4.0,3.0,8
Point Guard #93,5,1.0,2.0,9.0,6.0,4.0,3.0,3.0,6.0,5
Center #157,1,6.0,5.0,6.0,1.0,10.0,4.0,4.0,2.0,7
Shooting Guard #60,4,6.0,1.0,5.0,5.0,6.0,1.0,2.0,3.0,5
Small Forward #150,3,6.0,6.0,4.0,2.0,7.0,5.0,3.0,3.0,6
Power Forward #136,2,4.0,3.0,5.0,6.0,6.0,3.0,5.0,3.0,7
Atomobei Dotrugo,1,4.0,2.0,2.0,5.0,2.0,8.0,10.0,1.0,6
Point Guard #154,5,3.0,2.0,6.0,6.0,3.0,4.0,3.0,5.0,5
Point Guard #20,5,3.0,1.0,6.0,4.0,5.0,5.0,3.0,6.0,5
Small Forward #106,3,4.0,4.0,3.0,4.0,6.0,4.0,7.0,3.0,5
Shooting Guard #140,4,2.0,2.0,3.0,4.0,4.0,6.0,3.0,7.0,5
