Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Woganure,4,7.0,1.0,9.0,7.0,1.0,3.0,1.0,4.0,5
LeBryon Janes,5,7.0,7.0,4.0,9.0,4.0,3.0,2.0,1.0,5
Small Forward #120,3,6.0,4.0,7.0,7.0,6.0,4.0,4.0,1.0,7
Power Forward #131,2,7.0,4.0,4.0,4.0,2.0,6.0,7.0,4.0,6
Center #151,1,3.0,4.0,3.0,2.0,9.0,8.0,7.0,1.0,7
Point Guard #159,5,3.0,4.0,5.0,7.0,4.0,5.0,3.0,2.0,6
Power Forward #161,2,6.0,5.0,5.0,4.0,2.0,1.0,6.0,4.0,8
Small Forward #158,3,3.0,6.0,6.0,4.0,5.0,5.0,4.0,2.0,8
Shooting Guard #134,4,4.0,3.0,5.0,2.0,3.0,5.0,3.0,3.0,8
Center #103,1,5.0,4.0,1.0,2.0,6.0,6.0,7.0,1.0,6
Small Forward #165,3,4.0,7.0,1.0,4.0,7.0,3.0,6.0,4.0,5
Point Guard #13,5,2.0,4.0,3.0,5.0,6.0,3.0,2.0,4.0,8
Power Forward #167,2,6.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,5
