Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Center #101,1,6.0,10.0,1.0,1.0,9.0,7.0,5.0,3.0,8
Point Guard #145,5,4.0,2.0,4.0,7.0,5.0,4.0,4.0,5.0,10
Tipeprik Vokigei,2,4.0,7.0,5.0,6.0,1.0,4.0,8.0,3.0,9
Shooting Guard #43,4,4.0,1.0,10.0,4.0,3.0,2.0,3.0,5.0,5
Small Forward #148,3,5.0,4.0,7.0,4.0,3.0,6.0,4.0,5.0,7
Point Guard #156,5,5.0,2.0,3.0,7.0,3.0,6.0,2.0,4.0,7
Small Forward #135,3,6.0,4.0,1.0,6.0,7.0,4.0,5.0,1.0,8
Bransby Jones,2,4.0,5.0,3.0,2.0,1.0,4.0,7.0,4.0,10
Shooting Guard #148,4,5.0,5.0,3.0,4.0,4.0,1.0,2.0,5.0,6
Center #111,1,6.0,4.0,3.0,2.0,3.0,7.0,6.0,2.0,6
ąkoget lathíga kezel,5,2.0,1.0,3.0,5.0,5.0,5.0,2.0,3.0,10
Power Forward #171,2,7.0,3.0,5.0,3.0,1.0,4.0,2.0,4.0,7
Center #142,1,4.0,3.0,1.0,5.0,4.0,8.0,3.0,6.0,7
