Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Abi Rrasab,4,6.0,2.0,8.0,6.0,5.0,8.0,1.0,1.0,5
Power Forward #106,2,5.0,7.0,5.0,6.0,7.0,3.0,5.0,3.0,8
Small Forward #177,3,7.0,5.0,3.0,7.0,6.0,7.0,4.0,4.0,5
Center #135,1,4.0,5.0,1.0,1.0,10.0,7.0,7.0,1.0,7
Point Guard #127,5,3.0,2.0,4.0,8.0,5.0,6.0,3.0,2.0,5
Shooting Guard #125,4,5.0,4.0,6.0,1.0,5.0,2.0,3.0,7.0,6
Small Forward #113,3,7.0,6.0,6.0,5.0,6.0,3.0,3.0,1.0,5
Power Forward #132,2,6.0,1.0,3.0,6.0,3.0,5.0,5.0,5.0,6
Yondoora,1,6.0,9.0,2.0,4.0,5.0,1.0,6.0,3.0,5
Ok Jae-Wook,5,2.0,4.0,3.0,5.0,6.0,3.0,2.0,4.0,10
Small Forward #76,3,4.0,1.0,4.0,9.0,2.0,7.0,10.0,5.0,3
Point Guard #119,5,3.0,1.0,3.0,7.0,3.0,4.0,1.0,7.0,5
Power Forward #165,2,7.0,1.0,4.0,5.0,6.0,1.0,2.0,5.0,6
