Player,Position,Layup,Dunk,Jumpshot,Pass,ShotContest,DefenseIQ,Jumping,Seperation,Staminia
Power Forward #113,2,7.0,7.0,3.0,6.0,3.0,7.0,6.0,4.0,7
Point Guard #117,5,5.0,3.0,3.0,8.0,6.0,6.0,3.0,5.0,6
Shooting Guard #151,4,4.0,2.0,8.0,1.0,4.0,6.0,5.0,7.0,8
Small Forward #127,3,6.0,7.0,1.0,1.0,5.0,7.0,4.0,6.0,8
Center #134,1,6.0,4.0,1.0,1.0,6.0,8.0,6.0,6.0,5
Point Guard #144,5,4.0,3.0,1.0,8.0,5.0,6.0,2.0,5.0,6
Center #164,1,5.0,3.0,2.0,2.0,6.0,4.0,7.0,7.0,6
Power Forward #95,2,4.0,4.0,5.0,5.0,2.0,2.0,6.0,3.0,10
Small Forward #146,3,4.0,6.0,4.0,3.0,5.0,4.0,5.0,4.0,7
Shooting Guard #141,4,4.0,2.0,3.0,5.0,4.0,5.0,6.0,2.0,6
Mornay,1,5.0,7.0,3.0,5.0,5.0,3.0,5.0,2.0,6
Shooting Guard #153,4,5.0,3.0,2.0,2.0,5.0,1.0,4.0,6.0,8
Power Forward #129,2,6.0,2.0,5.0,3.0,4.0,2.0,3.0,5.0,7
